fname,label
973a8b381d1875ebe120.wav,Knock
052e1cbeb4391d6af234.wav,Gong
16eb98d96319450e0949.wav,Gong
ff13c136c04f274229a5.wav,Squeak
b458211304f7a14b29b2.wav,Cough
76ca3bc95f3a2eaf5eda.wav,Oboe
40d33a4dcf550d601418.wav,Meow
b2abdd15b23d829977c7.wav,Fireworks
a42c6ab15bc155b40847.wav,Laughter
a77a8d9799586e59f54e.wav,Electric_piano
ce4a1a8cacaa15077397.wav,Meow
cc0aa4aa65da768c32e2.wav,Snare_drum
32d4ce3044c04e183924.wav,Tearing
fc5073e4e883ca26f72a.wav,Tearing
f8e08d7dbb09ace22070.wav,Drawer_open_or_close
f2e6d924cd5edff34231.wav,Cello
cfce3ee67bbb235f200f.wav,Applause
bc838257b0307a4539c3.wav,Oboe
26bf6a58721806d31655.wav,Saxophone
ff91a60a3c24c00db676.wav,Tearing
20460d636d35eb787121.wav,Oboe
6f7a61255738c212ccf4.wav,Double_bass
d370377c12548345e24c.wav,Bass_drum
60ef2a116ebe2a4fbb10.wav,Chime
9679d1371c8a2c5d5422.wav,Gunshot_or_gunfire
700cf95a5810bc27ba9c.wav,Violin_or_fiddle
51866688b1edde66da1a.wav,Scissors
cf4adb681af6e0101702.wav,Bass_drum
e38b1fe52b2384f52d77.wav,Gunshot_or_gunfire
b3d09773e5b2c7e80ee4.wav,Tearing
1db1dbe5a0a6cf6abd52.wav,Shatter
bdf647dae584204efb04.wav,Applause
00879346de5cbc027e21.wav,Fart
cd5678caacbf5c8ae7d9.wav,Trumpet
e82d10a3b89c6223b1df.wav,Fart
9256a18c1ddd42b56407.wav,Flute
7a6f8808e48d5ba4e6bf.wav,Shatter
8b66154f668f2bbb2e57.wav,Cough
6b5becca557ac9a6827f.wav,Oboe
a9c95a1ad1310e811837.wav,Bus
878c1f09f62fe7397e31.wav,Tearing
c3db2b9f9f0c88590d25.wav,Applause
434d68a8c7d776ac9932.wav,Violin_or_fiddle
fd4d544ac7c876d288c3.wav,Drawer_open_or_close
eb5924b8730dc5dc583b.wav,Microwave_oven
d00454593546243873b9.wav,Bass_drum
16e6f38f0139aec723c2.wav,Harmonica
2a1500ff8e0e57820ccd.wav,Gong
b5151ebdfbc49edbd54a.wav,Saxophone
e8ada46c570338dd8660.wav,Bus
5b7443457129a7722c11.wav,Telephone
576e29abca25a5dd1a5d.wav,Scissors
857b2ee4f54ac19686da.wav,Clarinet
b414ad2ec4ebbbdece3a.wav,Meow
02389b6b762e32fcb477.wav,Tearing
95c9a731f635676759d0.wav,Laughter
c553dbccb0864627cbbe.wav,Acoustic_guitar
ba834058160676334366.wav,Glockenspiel
12890b638563686ff9a0.wav,Flute
a103151f5c2249b129bc.wav,Trumpet
6f1b66829202507587d4.wav,Bass_drum
7b403fd982017a0a3b55.wav,Gong
f3db8d1c549a91c71173.wav,Saxophone
17a564175771cf8d651a.wav,Cough
fe1987bf5488de9479e8.wav,Writing
80498a938b89d7c0eeb1.wav,Acoustic_guitar
6e426c10dd1854136815.wav,Shatter
42f888bc13bb1bf3ac4d.wav,Writing
e79a871a3d7612315c10.wav,Hi-hat
3a993efdd80b5d02d7ec.wav,Hi-hat
9ccfe6a54e7a7a6fb07e.wav,Finger_snapping
6f28e36a3cdfd1f33c4a.wav,Hi-hat
aade9554ca5ad41ebc95.wav,Bus
e64e3ed0cb82c3a9e937.wav,Meow
a08cf0027712dde5fe79.wav,Cello
e0489ffd7178b0c7f0f6.wav,Meow
ca33fcbdbf730df15e5e.wav,Oboe
08e1fc0408428aa8c909.wav,Fireworks
0dfeb8758e93b8ba8959.wav,Keys_jangling
2915b5e50acb2b22bb3e.wav,Applause
45c5483ee6588a751612.wav,Applause
c650ee8a64479d839f23.wav,Burping_or_eructation
d6610c1cc5e438175a2a.wav,Fart
90566cfaf17806d2303d.wav,Cowbell
749fff10b1c55da5842f.wav,Violin_or_fiddle
bf1be2e4b25255f7a3cb.wav,Cough
8d3bb88fa9a14874bce8.wav,Fart
9c83e2cf1da6aba5b297.wav,Fireworks
2434cdb0016f2e11f593.wav,Acoustic_guitar
fd1624c1a8a26fa001c1.wav,Snare_drum
080101a92b00a1aadbd7.wav,Keys_jangling
5281b57976a71965a8eb.wav,Hi-hat
0c98322292cd1cf9508d.wav,Electric_piano
39a84196d8df1257b51d.wav,Cello
576496ac4cf394dd8f08.wav,Violin_or_fiddle
eadab6cbb81213673d1d.wav,Clarinet
be9721160b1a212f510c.wav,Chime
242e5384b4ba4a8bb097.wav,Double_bass
db99a813657958dac28b.wav,Fart
9ab5ff9f612a292e6c98.wav,Saxophone
f8b813e3fb9ce5ac6185.wav,Saxophone
5d7e5b1ff4b2ac7fa364.wav,Double_bass
77c5b09b441bd3cd18d3.wav,Applause
2d89dcd85ffc44298d99.wav,Cowbell
8ce8eba5794fc1bcf5e3.wav,Tambourine
069fa57d29d21ea18652.wav,Knock
716bdc29bd0466359df7.wav,Flute
e6e3fca90ac40959f384.wav,Trumpet
8e9e2a6cc08310e9b021.wav,Applause
569119aa887bf5f87cf9.wav,Acoustic_guitar
fa72d7654d2be9dc5b0a.wav,Double_bass
79d8f2bcf2d5bb7a836a.wav,Laughter
5ea227ff6113956eca7e.wav,Bus
9094afeef746176f357b.wav,Gong
a13ac03ed3ce73898b68.wav,Finger_snapping
d6bfd19dd88104588ea9.wav,Clarinet
cf79d14ff2c033a44abd.wav,Cough
f8097548aabcc8348bbb.wav,Violin_or_fiddle
c0ee252bcf75f8b0e178.wav,Knock
1cfef73423ff4ef14a3a.wav,Finger_snapping
feeb41f923bb200fbd86.wav,Applause
2d43e75a4b9016934de7.wav,Gunshot_or_gunfire
f363b4b6b8c8c1d227ba.wav,Bus
5293a542814d0c59f5f3.wav,Gong
f5b32844c7052c328692.wav,Flute
86dbad1c3c6f2fbc90d3.wav,Bus
6a6fc2b7fbd8e9cbf909.wav,Double_bass
70560e030597fbf2bfa6.wav,Burping_or_eructation
76a4f65fd1dcdc9e85e2.wav,Gong
fe159226b8772f1bdc86.wav,Microwave_oven
cb3659d28978784fa93f.wav,Bark
725de66725babd4624c6.wav,Laughter
727dc31e8d48ad01a82b.wav,Bark
3e7061c949d1589539f1.wav,Tearing
cd8c1b983ce933c30676.wav,Shatter
8e2d21e2801266ba8b02.wav,Clarinet
50bced3d77fafad10c3b.wav,Trumpet
ba9cbb40d741f58ee1a0.wav,Saxophone
636b2fc3c116a29ca3bc.wav,Drawer_open_or_close
a01b591d016a55d0de69.wav,Cowbell
9becb6b53bb4cada3289.wav,Cello
c8ee97034309062026b3.wav,Scissors
5c509479f65925c14a51.wav,Computer_keyboard
957f6383c53e83e4119c.wav,Laughter
eed9494ea3d82801580e.wav,Saxophone
984fde853f43faa5af5a.wav,Fireworks
b18bb9936dfd8121be4b.wav,Tambourine
d07a07cfe35cb723d1eb.wav,Squeak
40940b4f498ba682e237.wav,Snare_drum
636935c359163b19b291.wav,Tearing
33d9ab316b5c7b04b77b.wav,Fireworks
c94884ddb1c703687dc2.wav,Harmonica
d6727fbffd37b6b00367.wav,Laughter
d7538cd3af234f489fdb.wav,Burping_or_eructation
9d34b8cc44b24ef41bd7.wav,Snare_drum
097b16c2c26307c1a2b2.wav,Fireworks
e9ace78f23f79d9f8f7b.wav,Trumpet
32d58ca7bd99f5b88348.wav,Cello
e9c96f7fa74d255dd661.wav,Cough
fff6d83654d108e2f09b.wav,Shatter
f98b6d3aad184fdba041.wav,Burping_or_eructation
e6c8a001d2e9d04ba12b.wav,Double_bass
f03ce7dd8ae8771609ef.wav,Hi-hat
99e59d8a467ea13935d2.wav,Oboe
5dab98d4c2f5b9682c7b.wav,Cello
096381a63d596c17a301.wav,Microwave_oven
b73de52a0bff120dc20f.wav,Trumpet
a270fdc7050f4a74ad2b.wav,Cough
e96b28921aea301c00b4.wav,Tambourine
2c013d6174e3ff0291c2.wav,Cowbell
5ce4fc5c24db28e755f6.wav,Burping_or_eructation
7d205ada44808c912b66.wav,Double_bass
5fcec7b13ac674de7669.wav,Cough
b84a9fc884492e0bf519.wav,Applause
01ba6aaa23a9430e31fe.wav,Snare_drum
58e41709165b94d8bd18.wav,Harmonica
9fb41f642df6747c7bcd.wav,Violin_or_fiddle
3ae95377a0081e878ef9.wav,Fireworks
a85836c9a0fd27f06f12.wav,Writing
592eaea471c487eacb58.wav,Cough
df05efd620a40d650512.wav,Shatter
cdbe569addb742b6c4b8.wav,Bus
3281528c6307e0cd532f.wav,Hi-hat
1269cdc2bc037063c5a4.wav,Double_bass
df4d3c344e261a7f9090.wav,Violin_or_fiddle
2cb91a02cb930f5c0170.wav,Saxophone
d2dee2ebc28385e834f4.wav,Oboe
d7b66def845ce1807dee.wav,Telephone
a25b9c9216874b180840.wav,Applause
7d8423d338deb466bda3.wav,Laughter
49c94d6d9fffc7db8ffe.wav,Gong
b56f64d840a599002973.wav,Tambourine
d0c3e0da2ff6310194c2.wav,Fireworks
001e949afb7a313b4cfe.wav,Violin_or_fiddle
0e663ec5067f74f6c777.wav,Bass_drum
ae6fdf365fa038370d4c.wav,Cough
e99fe6fc3a7bb87419e5.wav,Gong
884c4eb07ba7b2b41888.wav,Oboe
3d983a28c8120e5ff3dd.wav,Acoustic_guitar
bd1559d45b9abea876bd.wav,Flute
04e9d52aab7cde61be99.wav,Clarinet
f3ca1446b6fa0f7cc902.wav,Shatter
5c2b4de48f1e23ec931b.wav,Meow
fe8e6a27c4971f18deba.wav,Gunshot_or_gunfire
83cb14ead17fdea1f659.wav,Violin_or_fiddle
